# Global Carbon Budget 2021 — Terrestrial Sink
#
# Terrestrial CO2 sink (positive values represent a flux from the atmosphere to the land)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The terrestrial sink (uncertainty of ±0.5 GtC/yr on average) is estimated from the average of 17 Dynamic Global Vegetation Models (DGVMs) that reproduce the observed mean total land uptake of the 1990s.  Cite as: Friedlingstein et al (2021; see summary tab).
# Cite individual estimates as:
# CABLE-POP	Haverd, V., Smith, B., Nieradzik, L., Briggs, P. R., Woodgate, W., Trudinger, C. M., Canadell, J. G., and Cuntz, M.: A new version of the CABLE land surface model (Subversion revision r4601) incorporating land use and land cover change, woody vegetation demography, and a novel optimisation-based approach to plant coordination of photosynthesis, Geosci. Model Dev., 11, 2995-3026, 2018.
# CLASSIC	Melton, J. R., Arora, V. K., Wisernig-cojoc, E., Seiler, C., Fortier, M. and Chan, E.: CLASSIC v1 . 0 : the open-source community successor to the Canadian Land Surface Scheme ( CLASS ) and the Canadian Terrestrial Ecosystem Model ( CTEM ) – Part 1 : Model framework and site-level performance, , 2825–2850, 2020.
# CLM5.0	Lawrence, D., Fisher, R., Koven, C., Oleson, K., Swenson, S., et al.: The Community Land Model version 5: Description of new features, benchmarking, and impact of forcing uncertainty, JAMES, accepted, 2019
# DLEM	Tian, H., G. Chen, C. Lu, X. Xu, D. J. Hayes, W. Ren, S. Pan, D.N. Huntzinger, S.C. Wofsy: North American terrestrial CO2 uptake largely offset by CH4 and N2O emissions: Toward a full accounting of the greenhouse gas budget, Climatic Change, 129:423-426, 2015
# IBIS	Yuan WP, Liu D, Dong WJ, Liu SG, Zhou GS, Yu GR, Zhao TB, Feng JM, Ma ZG, Chen JQ, Chen Y, Chen SP, Han SJ, Huang JP, Li LH, Liu HZ, Liu SM, Ma MG, Wang YF, Xia JZ, Xu WF, Zhang Q, Zhao XQ, Zhao L. 2014. Multiyear precipitation reduction strongly decreases carbon uptake over northern China. Journal of Geophysical Research: Biogeosciences, 119, 881-896.
# ISAM	Meiyappan, P., Jain, A. K., and House, J. I.: Increased influence of nitrogen limitation on CO2 emissions from future land use and land use change, Global Biogeochemical Cycles, 29, 1524-1548, 2015.
# ISBA-CTRIP	Delire, C., Séférian, R., Decharme, B., Alkama, R., Calvet, J., Carrer, D., Gibelin, A., Joetzjer, E., Morel, X., Rocher, M. and Tzanos, D.: The Global Land Carbon Cycle Simulated With ISBA‐CTRIP: Improvements Over the Last Decade, J. Adv. Model. Earth Syst., 12(9), doi:10.1029/2019MS001886, 2020.
# JSBACH	Mauritsen, T., Bader, J., Becker, T., Behrens, J., Bittner, M., Brokopf, R., Brovkin, V., Claussen, M., Crueger, T., Esch, M., Fast, I., Fiedler, S., Popke, D., Gayler, V., Giorgetta, M., Goll, D., Haak, H., Hagemann, S., Hedemann, C., Hohenegger, C., Ilyina, T., Jahns, T., Jimenez Cuesta de la Otero, D., Jungclaus, J., Kleinen, T., Kloster, S., Kracher, D., Kinne, S., Kleberg, D., Lasslop, G., Kornblueh, L., Marotzke, J., Matei, D., Meraner, K., Mikolajewicz, U., Modali, K., Möbis, B., Müller, W., Nabel, J.E.M.S., Nam, C., Notz, D., Nyawira, S., Paulsen, H., Peters, K., Pincus, R., Pohlmann, H., Pongratz, J., Popp, M., Raddatz, T., Rast, S., Redler, R., Reick, C., Rohrschneider, T., Schemann, V., Schmidt, H., Schnur, R., Schulzweida, U., Six, K., Stein, L., Stemmler, I., Stevens, B., von Storch, J., Tian, F., Voigt, A., de Vrese, P., Wieners, K.-H., Wilkenskjeld, S., Roeckner, E. & Winkler, A. (in review). Developments in the MPI-M Earth System Model version 1.2 (MPI-ESM1.2) and its response to increasing CO2.
# JULES-ES	Wiltshire, A.,Burke, E., Chadburn, S., Jones, C., Cox, P., Davies-Barnard, T., Friedlingstein, P., Harper, A., Liddicoat, S., Sitch, S., Zaehle, S
# LPJ-GUESS	Smith, B., Warlind, D., Arneth, A., Hickler, T., Leadley, P., Siltberg, J., and Zaehle, S.: Implications of incorporating N cycling and N limitations on primary production in an individual-based dynamic vegetation model, Biogeosciences, 11, 2027-2054, 2014.
# LPJ 	Poulter, B., Frank, D. C., Hodson, E. L., and Zimmermann, N. E.: Impacts of land cover and climate data selection on understanding terrestrial carbon dynamics and the CO2 airborne fraction, Biogeosciences, 8, 2027-2036, 2011.
# LPX-Bern	Lienert, S. and Joos, F.: A Bayesian ensemble data assimilation to constrain model parameters and land-use carbon emissions, Biogeosciences, 15, 2909-2930, 2018.
# OCNv2	Zaehle, S. and Friend, A. D.: Carbon and nitrogen cycle dynamics in the O-CN land surface model: 1. Model description, site-scale evaluation, and sensitivity to parameter estimates, Global Biogeochemical Cycles, 24, GB1005, 2010
# ORCHIDEEv3	Vuichard, N., Messina, P., Luyssaert, S., Guenet, B., Zaehle, S., Ghattas, J., Ipsl, L. and Paris-saclay, U.: Accounting for carbon and nitrogen interactions in the global terrestrial ecosystem model ORCHIDEE ( trunk version , rev 4999 ): multi-scale evaluation of gross primary production, , 4751–4779, 2019.
# SDGVM	Walker, A. P., Quaife, T., van Bodegom, P. M., De Kauwe, M. G., Keenan, T. F., Joiner, J., Lomas, M. R., MacBean, N., Xu, C. G., Yang, X. J., and Woodward, F. I.: The impact of alternative trait-scaling hypotheses for the maximum photosynthetic carboxylation rate (V-cmax) on global gross primary production, New Phytologist, 215, 1370-1386, 2017.
# VISIT	Kato, E., Kinoshita, T., Ito, A., Kawamiya, M. and Yamagata, Y.: Evaluation of spatially explicit emission scenario of land-use change and biomass burning using a process-based biogeochemical model, J. Land Use Sci., 8(1), 104–122, doi:10.1080/1747423x.2011.628705, 2013.
# YIBs	Yue, X. and Unger, N.: The Yale Interactive terrestrial Biosphere model version 1 . 0 : description , evaluation and implementation into NASA GISS, , 2399–2417, doi:10.5194/gmd-8-2399-2015, 2015.
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file 'Global_Carbon_Budget_2021v1.0.xlsx' from https://doi.org/10.18160/gcp-2021
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS,LPJ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,Multi-model mean,Model Spread (sd)
1996,3.18,4.2,2.79,1.91,3.98,2.91,2.4,2.57,2.18,4.94,3.02,3.04,3.27,3.27,2.95,3.3,2.14,3.06176470588235,0.773346908687473
1997,2.3,5.33,3.01,2.35,3.69,2.71,1.91,3.67,2.4,3.4,3.83,3.08,3.64,1.66,4.41,3.01,1.59,3.05823529411765,0.996175406831784
1998,1.3,3.09,2.46,0.74,1.84,1.51,1.76,3.78,-0.74,0.5,0.56,1.19,1.88,1.26,2.2,1.8,1.56,1.57,1.03527170346726
1999,2.81,4.05,3.76,2.72,3.94,3.77,3.12,4.69,3.0,2.85,3.43,2.68,4.07,2.95,2.75,4.16,2.73,3.38117647058824,0.64273713865916
2000,3.74,5.47,3.33,2.68,4.5,3.9,2.7,4.38,3.14,2.95,3.83,3.24,4.33,2.72,2.18,4.22,2.47,3.51647058823529,0.88165994845285
2001,2.3,3.69,3.06,1.78,2.22,2.76,2.22,2.6,2.47,1.59,2.18,1.08,3.31,1.63,2.32,3.28,2.36,2.40294117647059,0.6793173476539
2002,1.4,1.15,2.42,0.98,0.59,1.87,1.31,1.18,1.05,-0.36,0.61,-0.41,1.91,1.1,-0.1,1.06,1.59,1.02058823529412,0.776115894923523
2003,2.25,1.44,2.9,2.43,1.46,2.47,2.53,3.59,1.59,1.58,1.59,0.58,3.24,1.96,2.97,2.24,1.97,2.16411764705882,0.762488186986603
2004,3.32,4.07,3.35,2.48,3.46,3.37,2.33,3.89,2.97,4.53,3.74,2.41,4.25,2.41,2.82,4.01,1.97,3.25764705882353,0.764963474714354
2005,2.22,1.72,3.05,2.02,1.28,2.11,1.81,2.25,2.06,1.15,1.84,0.41,2.76,1.85,1.58,1.83,1.95,1.87588235294118,0.596060596998424
2006,2.62,2.95,3.13,2.56,3.18,2.94,3.02,3.0,3.33,2.61,2.77,2.31,3.86,2.41,4.0,3.16,2.12,2.93941176470588,0.500568059661162
2007,2.8,3.11,3.41,2.4,2.27,3.07,2.09,3.77,2.96,2.22,2.07,0.9,3.59,2.18,1.69,3.59,2.59,2.63,0.764419714554773
2008,3.37,4.02,2.95,2.64,3.59,3.92,2.73,4.33,3.7,4.23,3.31,2.34,4.48,2.83,1.93,4.01,2.71,3.35823529411765,0.756928293285745
2009,3.31,1.94,2.96,2.36,2.53,2.66,2.15,3.75,2.67,2.44,3.6,1.9,3.71,1.76,2.18,3.27,2.23,2.67176470588235,0.651596455773411
2010,3.33,3.87,4.01,2.13,3.16,2.59,2.59,5.01,1.3,3.71,3.11,1.99,3.73,2.56,4.15,3.61,1.97,3.10705882352941,0.960408537458684
2011,3.85,4.57,4.47,3.13,4.21,4.08,3.36,4.72,4.21,4.37,4.59,2.75,5.0,3.11,2.64,5.22,2.72,3.94117647058823,0.833103252551426
2012,2.23,1.31,3.41,2.2,2.28,3.23,2.67,2.68,2.79,0.88,2.19,1.22,3.55,1.81,2.01,3.53,2.66,2.39117647058824,0.798301966308342
2013,3.76,4.24,3.41,2.45,3.53,3.12,3.08,4.7,2.37,3.52,3.77,2.62,3.72,2.39,2.52,3.46,2.72,3.25764705882353,0.683031198150611
2014,3.82,4.89,4.04,2.69,3.87,3.82,3.32,3.37,2.99,4.17,4.68,2.78,4.69,2.16,3.22,4.34,2.42,3.60411764705882,0.824181858144255
2015,2.21,1.79,3.29,1.71,1.25,2.88,1.82,1.83,2.1,0.9,2.84,0.34,3.75,1.54,2.78,3.0,2.46,2.14647058823529,0.889001836165642
2016,2.82,4.03,3.6,2.6,2.75,2.03,2.98,3.58,0.87,2.15,2.92,1.78,4.13,2.21,3.99,2.06,3.1,2.8,0.894511039618852
2017,2.88,5.58,3.76,2.87,3.91,3.39,3.29,3.8,2.5,3.68,3.61,2.41,4.29,3.22,3.62,4.18,2.93,3.52470588235294,0.75894760727486
2018,2.21,2.79,3.43,3.13,3.55,3.66,3.27,4.58,2.86,3.65,3.69,2.42,4.3,2.59,3.87,4.1,2.79,3.34647058823529,0.673627689978583
2019,2.13,1.67,4.13,2.01,2.06,2.98,2.25,4.47,2.35,3.13,3.24,1.07,4.03,1.81,2.62,3.11,2.71,2.69235294117647,0.926036779856534
2020,3.15,3.61,4.57,2.26,3.68,3.96,2.72,4.24,2.71,2.29,2.18,0.84,4.08,2.01,1.96,2.89,2.57,2.92470588235294,0.989381862876127
