# Global Carbon Budget 2020 — Global_Carbon_Budget_2020v1.0.xlsx  — Ocean Sink
#
# Ocean CO2 sink (positive values represent a flux from the atmosphere to the ocean)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.  Cite as: Friedlingstein et al (2020; see summary tab)
# Note: the data products include a pre-industrial steady state source of CO2 from rivers (of about 0.61 GtC/yr) and therefore are not directly comparable with the ocean model results
# Cite individual estimates as:
# Model results used to compute the annual values:
# CESM_ETH	Doney, S. C., Lima, I., Feely, R. A., Glover, D. M., Lindsay, K., Mahowald, N., Moore, J. K., and Wanninkhof, R.: Mech- anisms governing interannual variability in upper-ocean inor- ganic carbon system and air–sea CO2 fluxes: Physical cli- mate and atmospheric dust, Deep-Sea Res. Pt. II, 56, 640–655, https://doi.org/10.1016/j.dsr2.2008.12.006, 2009.
# CSIRO	Law, R. M., Ziehn, T., Matear, R. J., Lenton, A., Chamberlain, M. A., Stevens, L. E., Wang, Y.-P., Srbinovsky, J., Bi, D., Yan, H., and Vohralik, P. F.: The carbon cycle in the Australian Commu- nity Climate and Earth System Simulator (ACCESS-ESM1) – Part 1: Model description and pre-industrial simulation, Geosci. Model Dev., 10, 2567–2590, https://doi.org/10.5194/gmd-10- 2567-2017, 2017
# FESOM-1.4-REcoM2	Hauck, J., Zeising, M., Le Quéré, C., Gruber, N., Bakker, D. C. E., Bopp, L., et al. (2020). Consistency and Challenges in the Ocean Carbon Sink Estimate for the Global Carbon Budget. Frontiers in Marine Science, 7. https://doi.org/10.3389/fmars.2020.571720
# MPIOM-HAMOCC6	Paulsen, H., Ilyina, T., Six, K. D. and Stemmler, I.: Incorporating a prognostic representation of marine nitrogen fixers into the global ocean biogeochemical model HAMOCC, J. Adv. Model. Earth Syst., 9(1), 438–464, doi:10.1002/2016MS000737, 2017.
# NEMO3.6-PISCESv2-gas (CNRM)	Berthet, S., Séférian, R., Bricaud, C., Chevallier, M., Voldoire, A., & Ethé, C. ( 2019). Evaluation of an online grid‐coarsening algorithm in a global eddy‐admitting ocean biogeochemical model. Journal of Advances in Modeling Earth Systems, 11, 1759– 1783. https://doi.org/10.1029/2019MS001644
# NEMO-PlankTOM5	Buitenhuis, E. T., Hashioka, T., Le Quéré, C. (2013) Combined constraints on global ocean primary production using observations and models Global Biogeochemical Cycles 27. pp. 847-858 doi:10.1002/gbc.20074
# MICOM-HAMOCC (NorESM-OCv1.2)	Schwinger, J., Goris, N., Tjiputra, J. F., Kriest, I., Bentsen, M., Bethke, I., Ilicak, M., Assmann, K. M., and Heinze, C.: Evaluation of NorESM-OC (versions 1 and 1.2), the ocean carbon-cycle stand-alone configuration of the Norwegian Earth System Model (NorESM1), Geosci. Model Dev., 9, 2589-2622, 2016.
# MOM6-COBALT (Princeton)	Liao, E., Resplandy, L., Liu, J. and Bowman, K. W.: Amplification of the Ocean Carbon Sink During El Niños: Role of Poleward Ekman Transport and Influence on Atmospheric CO 2, Global Biogeochem. Cycles, 34(9), doi:10.1029/2020GB006574, 2020.
# NEMO-PISCES (IPSL)	Aumont, O., Ethé, Tagliabue, A., Bopp, L., & Gehlen, M. (2015). PISCES-v2: an ocean biogeochemical model for carbon and ecosystem studies.
# Data products used to evaluate the results:
# Landschützer	Landschützer, P., Gruber, N., and Bakker, D. C. E.: Decadal variations and trends of the global ocean carbon sink, Global Biogeochem. Cy., 30, 1396–1417, https://doi.org/10.1002/2015GB005359, 2016
# Rödenbeck	Rödenbeck, C., Bakker, D. C. E., Metzl, N., Olsen, A., Sabine, C., Cassar, N., Reum, F., Keeling, R. F., and Heimann, M.: Interannual sea–air CO2 flux variability from an observation-driven ocean mixed-layer scheme, Biogeosciences, 11, 4599-4613, 2014.
# CMEMS	Denvil-Sommer, A., Gehlen, M., Vrac, M., and Mejia, C.: LSCE-FFNN-v1: a two-step neural network model for the reconstruction of surface ocean pCO2 over the global ocean, Geosci. Model Dev., 12, 2091–2105, https://doi.org/10.5194/gmd-12-2091-2019, 2019.
# CSIR-ML6	Gregor, L., Lebehot, A. D., Kok, S. and Scheel Monteiro, P. M.: A comparative assessment of the uncertainties of global surface ocean CO2 estimates using a machine-learning ensemble (CSIR-ML6 version 2019a)-Have we hit the wall?, Geosci. Model Dev., 12(12), 5113–5136, doi:10.5194/gmd-12-5113-2019, 2019.
# Watson et al.	Watson, A. J., Schuster, U., Shutler, J. D., Holding, T., Ashton, I. G. C., Landschützer, P., Woolf, D. K. and Goddijn-Murphy, L.: Revised estimates of ocean-atmosphere CO2 flux are consistent with ocean carbon inventory, Nat. Commun., 11(1), 1–6, doi:10.1038/s41467-020-18203-3, 2020.
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2020v1.0.xlsx' from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CESM-ETH,CSIRO,FESOM,MPI,CNRM,PlankTOM,NorESM,Princeton,IPSL,MMM (multi-model mean),Model Spread (sd)
1959,0.945789375382731,1.03159628051142,1.01314121037463,0.800969998360566,0.788257513096222,0.89070731707317,1.10300799866688,0.347768762115757,0.831071384674871,0.8613677600284719,0.20872245045863544
1960,0.886617728107777,1.03159628051142,1.03300672430355,0.731750368872616,0.768301626688723,0.836542682926829,1.07416133422207,0.482065632788701,0.707826109688821,0.8390964986789451,0.18055952156377175
1961,0.620556858542559,0.891379310344827,0.903880883765609,0.721861850374337,0.498897160187482,0.79942987804878,1.01013581069821,0.416921628357795,0.585578629023145,0.7165157788158604,0.1892283037336387
1962,0.724696540110226,1.0015497869043,0.844284341978866,0.652642220886387,0.439029500964984,0.939856707317073,1.18743726045659,0.510127665466629,0.615993679374839,0.7684019670510992,0.23065942941663906
1963,0.896469595835884,1.18182874854707,0.933679154658981,0.721861850374337,0.628610421836228,1.06423475609756,1.35408454146531,0.664468845195236,0.811044792588403,0.9173647451776676,0.2308919099081746
1964,0.989085211267605,1.19184424641611,1.22172910662824,0.899855183343352,1.04768403639371,1.28691158536585,1.46163133922124,0.922038216560509,0.981151047792592,1.1113255525543564,0.1791041167816185
1965,1.13036582976117,1.44223169314219,1.12240153698366,1.01851740532269,1.31708850289495,1.47247560975609,1.65109462311836,0.866916366657435,1.05746463688153,1.2309506893908972,0.23957395723454342
1966,1.05360587875076,1.2819837272375,1.12240153698366,0.97896333132958,1.15744141163495,1.53065243902439,1.65481353107815,0.953106895596787,0.960162014225233,1.1881256406512233,0.239962584650316
1967,0.865352602571953,1.05162727624951,1.00320845341018,0.800969998360566,0.957882547559966,1.22271646341463,1.46032469588401,0.733621711437275,0.857870419967057,0.9948415743172385,0.21463472522918142
1968,1.03130318432333,1.2819837272375,0.86414985590778,0.919632220339909,0.977838433967466,1.21870426829268,1.52776759428984,0.83684990307394,0.950148718181999,1.0675975450682718,0.21608859564910018
1969,1.05782666870789,1.4222006974041,0.943611911623438,0.721861850374337,0.878059001929969,1.34207926829268,1.62425817919235,0.979164497369149,1.00650642086344,1.1083964995285946,0.2745606891172171
1970,0.880331873851806,1.18182874854707,1.00320845341018,0.919632220339909,0.917970774744968,1.14648475609756,1.50927356551685,0.901993907504846,0.834369224179019,1.0327881693546896,0.2024189116418625
1971,1.03101105327617,1.36210771018984,0.913813640730067,0.969074812831302,0.957882547559966,1.23475304878048,1.55390046103427,0.994197729160897,0.858797508608463,1.0972820569079396,0.22084543411664076
1972,1.40167498469075,1.66257264626113,1.01314121037463,1.07784851631236,1.04768403639371,1.62293292682926,1.8135204410376,1.14653447798393,1.21648909604314,1.3335998151029456,0.28391184990649115
1973,1.07471990202082,1.46226268888027,1.10253602305475,1.00862888682441,1.2272870140612,1.69615548780487,1.86166522246292,1.22270285239545,1.05133645960134,1.3008105041228921,0.2879942350113115
1974,0.990173147581138,1.45224719101123,1.08267050912584,1.00862888682441,1.05766197959746,1.43736890243902,1.80125809587291,1.07938604264746,1.01589708480829,1.2139213155453064,0.2672613898118748
1975,0.88280995101041,1.33206121658271,0.933679154658981,1.12729110880375,1.07761786600496,1.61591158536585,1.7493944064878,0.987182220991415,0.877684895016619,1.1759591561024993,0.30332122493289476
1976,1.19945985915492,1.62251065478496,0.923746397694524,0.959186294333023,1.15744141163495,1.67509146341463,1.9157401544187,1.06034394904458,1.02484188085218,1.2820402294813853,0.3403003127100112
1977,1.26290266380894,1.62251065478496,1.09260326609029,1.15695666429859,1.25722084367245,1.69214329268292,1.98941473643281,1.24575380780947,1.19395034173599,1.3903840301462687,0.28682727210060577
1978,1.32361555419473,1.70263463773731,1.24159462055715,1.30528444177277,1.2472429004687,1.71220426829268,1.93413367216575,1.29185571863749,1.26228157626194,1.4467608211209464,0.24688571475840557
1979,1.32568061849356,1.79277411855869,0.963477425552353,0.880078146346794,1.23726495726495,1.55773475609756,1.79743867688718,1.1244857380227,1.21486866962438,1.3215336785386855,0.3135380652937117
1980,1.57811206368646,1.96303758233242,1.46011527377521,1.40416962675556,1.43682382133995,1.77038109756097,2.09163444981391,1.48528330102464,1.51269259783657,1.6335833126806323,0.23527412122665375
1981,1.55823707899571,1.98306857807051,1.49984630163304,1.42394666375211,1.31708850289495,1.68512195121951,2.09856971060378,1.53138521185267,1.45530174799527,1.6169517496686165,0.24685284699274732
1982,1.759626178812,2.23345602479659,1.53957732949087,1.25584184928138,1.43682382133995,1.86165853658536,2.15716763872687,1.55042730545555,1.58948740766596,1.7093406769060586,0.3071987649770472
1983,1.90593346601347,2.29354901201084,1.70843419788664,1.40416962675556,1.47673559415494,2.13248170731707,2.3323583569405,1.7558814732761,1.77954954927765,1.8654547759591962,0.3130732262660066
1984,1.54702529087568,1.89292909724912,1.68856868395773,1.47338925624351,1.55655913978494,1.93387804878048,2.28461561961895,1.66467986707283,1.53856454448735,1.7311343942300657,0.24669828867179205
1985,1.47972434170238,2.0030995738086,1.41045148895292,1.28550740477621,1.3470223325062,2.02415243902439,2.25144698105871,1.41913708114095,1.43627295022917,1.628534954799948,0.3386682482282239
1986,1.51376264543784,2.05317706315381,1.43031700288184,1.55249740422973,1.49669148056244,1.92986585365853,2.30481833583291,1.47125228468568,1.55449390077386,1.7007639968018486,0.2957804174145128
