Code,Year,Emissions-Transfers
JAM,2010,-0.087
JAM,2011,-0.199
JAM,2012,-0.340
JAM,2013,-0.177
JAM,2014,-0.223
JAM,2015,-0.128
JAM,2016,-0.051
JAM,2017,-0.047
JOR,1990,-1.788
JOR,1991,-1.543
JOR,1992,-1.137
JOR,1993,-1.209
JOR,1994,-1.269
JOR,1995,-1.416
JOR,1996,-0.433
JOR,1997,-1.091
JOR,1998,-1.216
JOR,1999,-0.839
JOR,2000,-0.478
JOR,2001,-1.231
JOR,2002,-1.408
JOR,2003,-1.325
JOR,2004,-1.498
JOR,2005,-1.637
JOR,2006,-1.361
JOR,2007,-1.212
JOR,2008,-2.201
JOR,2009,-2.664
JOR,2010,-1.867
JOR,2011,-1.851
JOR,2012,-1.137
JOR,2013,-2.679
JOR,2014,-2.465
JOR,2015,-2.474
JOR,2016,-2.545
JOR,2017,-2.824
JPN,1990,-41.037
JPN,1991,-49.464
JPN,1992,-48.896
JPN,1993,-55.568
JPN,1994,-60.818
JPN,1995,-67.803
JPN,1996,-66.767
JPN,1997,-64.402
JPN,1998,-51.155
JPN,1999,-58.852
JPN,2000,-67.054
JPN,2001,-62.298
JPN,2002,-57.250
JPN,2003,-58.205
JPN,2004,-57.419
JPN,2005,-57.137
JPN,2006,-57.789
JPN,2007,-54.379
JPN,2008,-62.269
JPN,2009,-52.702
JPN,2010,-54.157
JPN,2011,-62.068
JPN,2012,-62.877
JPN,2013,-56.659
JPN,2014,-56.902
JPN,2015,-55.215
JPN,2016,-54.466
JPN,2017,-55.948
KAZ,1990,25.021
KAZ,1991,24.784
KAZ,1992,20.156
KAZ,1993,22.741
KAZ,1994,17.766
KAZ,1995,21.642
KAZ,1996,21.872
KAZ,1997,21.283
KAZ,1998,19.315
KAZ,1999,9.216
KAZ,2000,13.096
KAZ,2001,10.217
KAZ,2002,13.375
KAZ,2003,16.283
KAZ,2004,16.399
KAZ,2005,14.534
KAZ,2006,11.785
KAZ,2007,11.154
KAZ,2008,11.141
KAZ,2009,15.932
KAZ,2010,23.825
KAZ,2011,19.649
KAZ,2012,15.167
KAZ,2013,13.090
KAZ,2014,13.432
KAZ,2015,12.653
KAZ,2016,11.838
KAZ,2017,12.646
KEN,1990,-0.559
KEN,1991,-0.674
