# Global Carbon Budget 2020 — Global Carbon Budget
#
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr) , multiply the numbers below by 3.664.
# Note: 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# All uncertainties represent ± 1 sigma error (68 % chance of being in the range provided)
# Emissions from fossil fuel combustion and industrial processes (uncertainty of ±5% for a ± 1 sigma confidence level):
# Cite as: Friedlingstein et al. 2020 (see Summary tab).
# Emissions from land-use change (uncertainty of ±0.7 GtC/yr):
# Cite as: average of three bookkeeping models: Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017;  Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015; Gasser, T., Crepin, L., Quilcaille, Y., Houghton, R. A., Ciais, P. and Obersteiner, M.: Historical CO 2 emissions from land use and land cover change and their uncertainty, Biogeosciences , 4075–4101, 2020.
# The atmospheric CO2 growth rate (variable uncertainty around 0.2 GtC/yr from 1980) is estimated directly from atmospheric CO2 concentration measurements, and provided by the US National Oceanic and Atmospheric Administration Earth System Research Laboratory (NOAA/ESRL).  http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html
# Cite as: Dlugokencky, E. and Tans, P.: Trends in atmospheric carbon dioxide, National Oceanic & Atmospheric Administration, Earth System Research Laboratory (NOAA/ESRL), available at http://www.esrl.noaa.gov/gmd/ccgg/trends/global.html, 2020.
# 1959-1980 are based on Mauna Loa and South Pole stations as observed by the CO2 Program at Scripps Institution of Oceanography. http://scrippsco2.ucsd.edu/data/atmospheric_co2/
# 1980 onwards are global averages estimated from multiple stations run by NOAA/ESRL.
# The ocean sink (uncertainty of ±0.4 GtC/yr on average) is estimated from the average of several global ocean biogeochemistry models that reproduce the observed mean ocean sink of the 1990s.
# Cite as: Friedlingstein et al. 2020 (see Summary tab).
# The land sink (uncertainty of ±0.9 GtC/yr on average) was estimated from the average of several dynamic global vegetation models that reproduce the observed mean total land sink of the 1990s.
# Cite as: Friedlingstein et al. 2020 (see Summary tab).
# The cement carbonation sink:
# Cite as: Friedlingstein et al. 2020 (see Summary tab).
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink + cement carbonation sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
# Cite as: Friedlingstein et al. 2020 (see Summary tab).
#
#
#
# Generated with openclimatedata 0.33 from the GCB Excel file from https://doi.org/10.18160/gcp-2020
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.415,1.8041998730239868,2.0448,0.8613677600284719,0.6774448472352941,0.012683730499999999,0.622903535260221
1960,2.548,1.6594406334330234,1.5123,0.8390964986789451,1.2583989870588235,0.0138387995,0.5838063481952551
1961,2.553,1.5936361338857001,1.6614,0.7165157788158604,0.6603062084117648,0.014726463500000002,1.0936876831580746
1962,2.644,1.55592163940938,1.1928,0.7684019670510992,1.408220922,0.0158710075,0.8146277428582812
1963,2.794,1.5112429549967432,1.2141,0.9173647451776676,1.0238226213529413,0.016862708,1.1330928804661338
1964,2.939,1.4674677584762568,1.0437,1.1113255525543564,1.5295234982941177,0.018451229,0.7034674786277827
1965,3.076,1.4221802365976968,2.343,1.2309506893908972,0.4807770951176471,0.019485973,0.4239664790891523
1966,3.219,1.3918454160995466,2.343,1.1881256406512233,1.434329463764706,0.0209148425,-0.37552453081638293
1967,3.322,1.37336576034037,1.2993,0.9948415743172385,1.6408221295882353,0.0219524775,0.7384495789348968
1968,3.503,1.3668350554962132,2.1087,1.0675975450682718,2.3674042239411763,0.023532643,-0.6973993565132348
1969,3.737,1.3727037706502265,2.8116,1.1083964995285946,0.7482111231764704,0.0249665225,0.4165296254451619
1970,4.047,1.3583775639368667,2.4069,1.0327881693546896,0.723909317,0.026489823000000003,1.215290254582177
1971,4.21,1.3358898952992735,1.5549,1.0972820569079396,2.2851294841176473,0.027991509999999997,0.5805868442736869
1972,4.406,1.30632923898824,3.1311,1.3335998151029456,1.321762657882353,0.0304854505,-0.10461868449705906
1973,4.64,1.2978376414337134,3.1098,1.3008105041228921,1.7956086300588239,0.032610441000000004,-0.3009919337480026
1974,4.62,1.2685654112752267,1.4484,1.2139213155453064,3.5479576307058824,0.033395811000000004,-0.3551093459759612
1975,4.613,1.2531180858027133,2.6199,1.1759591561024993,2.407023057941177,0.034104432500000004,-0.37086856074096236
1976,4.858,1.2349822038523335,2.0661,1.2820402294813853,2.869446111,0.0360669675,-0.16067110412905222
1977,4.991,1.2205240717798866,4.0896,1.3903840301462687,1.5822215735294116,0.038465278,-0.8891468098957943
1978,5.174,1.1927833299585966,2.7477,1.4467608211209464,2.5516755477058823,0.041111291,-0.4204643298682318
1979,5.312,1.16301571244049,4.5582,1.3215336785386855,1.618457512,0.04259889,-1.0657743680981953
1980,5.286,1.1971534031422901,3.621,1.6335833126806323,0.7809130968235294,0.043860726999999995,0.4037962666381283
1981,5.142,1.2124057412498266,2.41074,1.6169517496686165,2.258690189294118,0.0447408265,0.023282975787092042
1982,5.104,1.21370488816728,2.1771,1.7093406769060586,1.7863882421176471,0.045586188,0.5992897811435743
1983,5.152,1.2445701068722501,3.89754,1.8654547759591962,0.673823700117647,0.047107128000000005,-0.08735549720459274
1984,5.302,1.2784823650339032,2.75058,1.7311343942300657,2.835898103764706,0.0485571165,-0.7856872494608691
